scraped_at,title,status,close_date,url
2026-08-26 08:36:51,Grant Management Consulting and Administration Services,Closed,"Monday, July 13, 2026",https://www.gvea.com/bids/grant-management-consulting-and-administration-services/
2026-08-26 08:36:51,"System Operation Limits, Settings, and Guidelines",Closed,"Friday, April 3, 2026",https://www.gvea.com/bids/system-operation-limits-settings-and-guidelines/
2026-08-26 08:36:51,System Restoration Plan,Closed,"Friday, April 3, 2026",https://www.gvea.com/bids/system-restoration-plan/
2026-08-26 08:36:51,GVEA Integrated System Plan,Closed,"Friday, April 3, 2026",https://www.gvea.com/bids/gvea-integrated-system-plan/
2026-08-26 08:36:51,GVEA Ring 2 Fiber Modernization Project –Design Services,Closed,"Wednesday, March 4, 2026 at 2 p.m.",https://www.gvea.com/bids/gvea-ring-2-fiber-modernization-project-design-services/
2026-08-26 08:36:51,2025-220 RFP for IPP Community Solar,Closed,"Friday, February 27, 2026",https://www.gvea.com/bids/2025-220-rfp-for-ipp-community-solar/
2026-08-26 08:36:51,Outsourced General Counsel,Closed,"Thursday, January 29, 2026",https://www.gvea.com/bids/outsourced-general-counsel/
2026-08-26 08:36:51,Request for Quotations – Horizontal Vacuum Belt Filter System,Closed,"Friday, December 19, 2025",https://www.gvea.com/bids/request-for-quotations-horizontal-vacuum-belt-filter-system-3/
2026-08-26 08:36:51,Request for Proposal – Banking Services,Closed,"Monday, December 15, 2025",https://www.gvea.com/bids/request-for-proposal-banking-services/
2026-08-26 08:36:51,Request for – Healy Truck Bay Extension,Closed,"Friday, October 24, 2025",https://www.gvea.com/bids/request-for-healy-truck-bay-extension/
2026-08-26 08:36:51,Request for Proposals – Healy Power Plant Transformers,Closed,"Friday, October 3, 2025",https://www.gvea.com/bids/request-for-proposals-healy-power-plant-transformers/
2026-08-26 08:36:51,Request for Quotations: Bottom Ash Slurry Thickener System,Closed,"Monday, September 29, 2025",https://www.gvea.com/bids/rfp-2025-180-healy-thickener-systemrequest-for-quotations-bottom-ash-slurry-thickener-system/
